# C++ name	package	module	Luce name	file:line	kind
Core::AnonymousBuffer	luce-browser-render	gfx	CoreAnonymousBuffer	Libraries/LibCore/AnonymousBuffer.h:38	opaque
Gfx::(anonymous)::format_to_8bit_compatible	luce-browser-render	gfx	format_to_8bit_compatible	Libraries/LibGfx/Color.cpp:45	stub
Gfx::(anonymous)::nth_digit	luce-browser-render	gfx	nth_digit	Libraries/LibGfx/Color.cpp:26	stub
Gfx::AffineTransform	luce-browser-render	gfx	AffineTransform	Libraries/LibGfx/AffineTransform.h:17	struct
Gfx::AffineTransform::AffineTransform	luce-browser-render	gfx	affine_transform_construct	Libraries/LibGfx/AffineTransform.h:19	construct
Gfx::AffineTransform::AffineTransform	luce-browser-render	gfx	affine_transform_construct_f32	Libraries/LibGfx/AffineTransform.h:24	construct
Gfx::AffineTransform::a	luce-browser-render	gfx	affine_transform_a	Libraries/LibGfx/AffineTransform.h:57	stub
Gfx::AffineTransform::b	luce-browser-render	gfx	affine_transform_b	Libraries/LibGfx/AffineTransform.h:58	stub
Gfx::AffineTransform::c	luce-browser-render	gfx	affine_transform_c	Libraries/LibGfx/AffineTransform.h:59	stub
Gfx::AffineTransform::d	luce-browser-render	gfx	affine_transform_d	Libraries/LibGfx/AffineTransform.h:60	stub
Gfx::AffineTransform::determinant	luce-browser-render	gfx	affine_transform_determinant	Libraries/LibGfx/AffineTransform.cpp:134	stub
Gfx::AffineTransform::e	luce-browser-render	gfx	affine_transform_e	Libraries/LibGfx/AffineTransform.h:61	stub
Gfx::AffineTransform::f	luce-browser-render	gfx	affine_transform_f	Libraries/LibGfx/AffineTransform.h:62	stub
Gfx::AffineTransform::inverse	luce-browser-render	gfx	affine_transform_inverse	Libraries/LibGfx/AffineTransform.cpp:139	stub
Gfx::AffineTransform::is_identity	luce-browser-render	gfx	affine_transform_is_identity	Libraries/LibGfx/AffineTransform.h:29	stub
Gfx::AffineTransform::is_identity_or_translation	luce-browser-render	gfx	affine_transform_is_identity_or_translation	Libraries/LibGfx/AffineTransform.h:34	stub
Gfx::AffineTransform::is_identity_or_translation_or_scale	luce-browser-render	gfx	affine_transform_is_identity_or_translation_or_scale	Libraries/LibGfx/AffineTransform.h:39	stub
